organ,protein_seqid,kadrc_mean,kadrc_std
Brain,7933-75,3.622414155,0.165692255
Brain,3209-69,2.203303739,0.104278458
Brain,15404-3,2.476152176,0.227362311
Brain,6274-15,2.510114393,0.120198957
Brain,14035-13,2.451686139,0.127073166
Brain,5703-26,2.287291582,0.123737771
Brain,4991-12,2.806277997,0.131151054
Brain,6620-82,3.83761393,0.117221746
Brain,7200-4,2.558314996,0.185791012
Brain,15670-15,2.771323605,0.107282691
Brain,15604-18,3.601268531,0.125049242
Brain,3685-53,3.218125108,0.127053473
Brain,12853-112,2.39216062,0.142373273
Brain,8428-102,3.534202974,0.091736232
Brain,10615-18,3.14826261,0.141814636
Brain,9487-60,2.831756776,0.103924155
Brain,7968-15,2.771906551,0.159795397
Brain,3351-1,3.01602177,0.18502486
Brain,3897-61,3.184348194,0.179794302
Brain,5105-2,3.023005834,0.110880126
Brain,15545-13,3.60561177,0.107068322
Brain,7736-28,2.910956101,0.104325202
Brain,10082-251,2.758453313,0.134113398
Brain,8002-27,2.727101109,0.112171345
Brain,8306-54,2.602469712,0.097522603
Brain,13375-48,2.511786805,0.114957223
Brain,11143-32,3.12221884,0.102476435
Brain,8646-61,2.655353105,0.098539376
Brain,19638-9,3.437992024,0.148292045
Brain,9008-6,3.128897898,0.125200554
Brain,17355-56,2.913547463,0.102002692
Brain,9059-14,3.194015437,0.121633832
Brain,6214-84,2.478797819,0.170691733
Brain,19637-9,2.886209192,0.368856362
Brain,11666-72,3.622604828,0.120075373
Brain,5456-59,3.709175802,0.310185211
Brain,10339-48,3.861147783,0.206179769
Brain,3388-58,3.048341817,0.084303656
Brain,9256-78,2.586419857,0.11628684
Brain,2760-2,2.496879647,0.091806703
Brain,12860-7,2.743738384,0.098614514
Brain,4712-28,3.480878714,0.124953281
Brain,13452-113,2.822842731,0.07713897
Brain,15668-19,3.267999465,0.10870731
Brain,6572-10,2.806998578,0.091644847
Brain,8976-13,2.818722326,0.156404687
Brain,8998-15,2.494451644,0.085992376
Brain,3494-71,2.338368515,0.072576372
Brain,19360-22,2.630076887,0.058060107
Brain,19563-3,3.369645065,0.086308694
Brain,7826-1,2.593011474,0.10681979
Brain,12656-1,2.76559788,0.179165391
Brain,13613-23,2.44158054,0.148260773
Brain,8356-88,3.170397359,0.194210341
Brain,10981-56,2.701169641,0.156155734
Brain,12499-108,3.706903903,0.259051252
Brain,17855-28,2.751393351,0.071982738
Brain,13416-8,3.554271373,0.124719965
Brain,10880-38,3.383280573,0.087299592
Brain,6965-19,3.012075874,0.088224427
Brain,16293-1,2.939324665,0.139956802
Brain,18904-23,2.48691418,0.112510254
Brain,6390-18,4.133541778,0.0643019
Brain,13540-1,3.275989484,0.09045716
Brain,9876-20,3.546233405,0.117527698
Brain,8890-9,3.522174334,0.088482987
Brain,6267-51,3.187111008,0.281384545
Brain,15412-40,2.564274916,0.148483005
Brain,6478-2,3.471763466,0.114583815
Brain,10760-107,3.616399721,0.208141215
Brain,3489-9,2.258750696,0.068878572
Heart,15361-37,2.862261624,0.083288201
Heart,19296-51,3.674793444,0.102160199
Heart,3723-1,2.686474264,0.073939091
Heart,5315-22,3.081152212,0.141705908
Heart,5443-62,3.084197637,0.097142328
Heart,16751-15,2.576021231,0.169332373
Heart,11324-3,2.702647331,0.099015821
Heart,3587-53,3.185739,0.115628136
Heart,7655-11,3.405333778,0.353126384
Heart,5441-67,2.543762931,0.13540879
Immune,4133-54,2.348580999,0.129980972
Immune,7752-31,3.267662912,0.082839647
Immune,15576-158,4.301820025,0.240037226
Immune,8368-102,3.878566603,0.142942724
Immune,12750-9,3.124213248,0.082788739
Immune,10754-113,3.092277493,0.24915889
Immune,8327-26,3.956708017,0.099282968
Immune,8351-17,3.199779136,0.13865088
Immune,10713-151,2.121911885,0.120527948
Immune,11147-17,2.428378794,0.118749487
Immune,8360-169,3.004560278,0.140923441
Immune,19251-56,3.313190695,0.160986411
Immune,12358-6,3.509758126,0.180776679
Immune,7059-14,3.375733474,0.284319979
Immune,18907-97,3.296572642,0.103556081
Immune,11531-24,2.889925116,0.143387311
Immune,13982-33,2.469049048,0.101927262
Immune,3069-52,3.7489484,0.225204882
Immune,18873-8,3.636997627,0.171704381
Immune,2960-66,4.629393391,0.083956585
Immune,4916-2,3.246957233,0.600613004
Immune,14123-34,3.503802903,0.082590063
Immune,17231-1,4.350367055,0.071257439
Immune,2992-59,3.950480227,0.229452936
Immune,2993-1,2.630821326,0.064714328
Immune,13231-90,2.844157154,0.180312101
Immune,17398-55,3.436836231,0.105302393
Immune,17766-5,2.991204271,0.305772455
Immune,3329-14,3.117022315,0.267276542
Immune,2790-54,3.702577076,0.348481753
Immune,7875-86,4.655733112,0.2717145
Immune,4831-4,3.769039387,0.089757274
Immune,12594-5,2.529565455,0.255921262
Immune,2849-49,3.964063608,0.116540916
Immune,5630-48,4.092611798,0.142098199
Immune,12394-53,2.522891567,0.192088879
Immune,11266-8,3.34026875,0.147945587
Immune,4905-63,2.969581697,0.083331051
Immune,17165-1,3.70905795,0.340557343
Immune,6617-12,3.260000108,0.085930545
Immune,5096-51,2.674397324,0.106152204
Immune,4535-50,3.986858248,0.18328251
Immune,19518-12,3.226759995,0.101816941
Immune,5704-74,2.725356803,0.102281036
Immune,3052-8,2.812353399,0.188227051
Immune,11187-11,3.208854114,0.283714174
Immune,2719-3,2.988554795,0.101550254
Immune,18950-13,3.723039811,0.311906133
Immune,19574-5,3.606923913,0.235731167
Immune,12599-10,4.140603272,0.244567817
Immune,14713-46,2.446065793,0.087552317
Immune,12433-8,3.555334475,0.080101468
Immune,14063-17,2.824250376,0.119462154
Immune,16324-38,2.876907902,0.123999749
Immune,5852-6,3.509267023,0.239898755
Immune,13116-25,2.620897139,0.306035785
Immune,19556-12,3.942632877,0.103677753
Immune,15567-2,2.610905959,0.096827227
Immune,8766-29,3.745390368,0.158673393
Immune,16765-52,3.785579798,0.187034922
Immune,15615-8,3.134528526,0.316155503
Immune,13230-174,2.200487814,0.155696252
Immune,7009-8,3.01356369,0.087130642
Immune,15617-8,3.402198252,0.104469442
Immune,9266-1,3.17136486,0.146812908
Immune,15495-9,2.532565174,0.25384922
Immune,11094-104,2.913601091,0.104349559
Immune,18198-51,2.393646036,0.109312164
Immune,11089-7,3.776123583,0.212692796
Immune,5095-21,2.840352849,0.082107512
Immune,11149-3,2.981780298,0.108813565
Immune,11137-43,2.711793488,0.094727474
Immune,3487-32,2.70956152,0.15576438
Immune,3007-7,3.25351642,0.638896677
Immune,13612-7,2.255500505,0.136092974
Immune,2742-68,2.993613795,0.081803694
Immune,16792-4,3.900470607,0.362383647
Immune,15306-20,2.701692631,0.124698371
Immune,3373-5,2.60513015,0.115234268
Immune,13671-40,4.631447015,0.197169084
Immune,13682-47,3.64249141,0.110614314
Immune,3374-49,2.241754075,0.095045206
Immune,9384-17,3.624712399,0.171134685
Immune,19579-5,2.704203863,0.082576939
Immune,17153-46,2.900767615,0.258850773
Immune,5090-49,3.233402879,0.239768024
Immune,17200-50,3.176382051,0.110534701
Immune,6992-67,3.028775608,0.107673014
Immune,12540-25,3.14645818,0.047351138
Immune,8248-222,3.517787727,0.311966274
Immune,15614-168,3.711469221,0.197062756
Immune,3453-87,3.384487821,0.276390478
Immune,15481-45,4.474239252,0.138123753
Immune,11334-7,2.785415268,0.087220559
Immune,10047-12,2.733536053,0.213970789
Immune,5094-62,2.6409679,0.10135517
Immune,6315-58,2.843016471,0.120996349
Immune,12008-3,2.671886345,0.164866959
Immune,5480-49,4.211083408,0.361080337
Immune,18928-10,2.46832212,0.121972223
Immune,15480-2,2.960297972,0.134835353
Immune,3152-57,3.331439744,0.137649161
Immune,7258-5,2.393767029,0.131264679
Immune,2580-83,4.075832522,0.168821143
Immune,8352-26,3.319514756,0.112092966
Immune,9329-28,2.705681546,0.1680208
Immune,15462-28,4.11190522,0.148588832
Immune,10816-150,3.223080731,0.541750441
Immune,9846-32,4.230586333,0.200208493
Immune,17152-10,2.81935819,0.123353613
Immune,2697-7,4.217392083,0.354966637
Immune,6283-60,3.628762395,0.134836674
Immune,4987-17,2.816540797,0.081341365
Immune,4546-27,3.244429945,0.165248433
Immune,10512-13,2.395828248,0.142123638
Immune,3810-50,2.681092808,0.382650284
Immune,2634-2,3.24449749,0.14731772
Immune,3309-2,3.172763946,0.584840463
Immune,5063-12,1.988021121,0.154103893
Immune,3495-15,3.214452241,0.223938592
Immune,7204-1,2.819098058,0.12506459
Immune,8999-19,3.03045611,0.076394128
Immune,5663-18,2.578453014,0.084512084
Immune,17137-160,3.224669123,0.195895806
Immune,19168-71,3.030385105,0.163380639
Immune,3195-50,2.810249763,0.155457221
Immune,8394-56,3.019647358,0.090785619
Immune,3381-24,3.926169759,0.292882709
Immune,9172-69,3.252818059,0.396536281
Immune,14133-93,3.838927738,0.094959826
Immune,2985-35,3.276811558,0.208336752
Immune,16322-10,3.975953547,0.166952351
Immune,5736-1,3.496738735,0.119526688
Immune,15582-25,3.492103463,0.125638071
Immune,6896-3,3.592141093,0.382308238
Immune,13720-95,3.34246589,0.150899271
Immune,6402-8,3.521706082,0.848672623
Immune,2579-17,4.186221079,0.244432293
Immune,3302-58,2.642189361,0.183795561
Immune,5275-28,3.287276879,0.289484777
Immune,7787-25,3.274016325,0.09654044
Immune,10438-19,2.955627147,0.090134219
Immune,5669-26,2.86399725,0.134938015
Immune,12713-365,3.422800872,0.091286218
Immune,14100-63,3.041222065,0.176199469
Immune,16926-44,3.174910463,0.130815068
Immune,3440-7,3.261883038,0.109207153
Immune,5613-75,2.315732601,0.114404594
Immune,12807-89,2.939050169,0.070940089
Immune,9015-1,2.98755717,0.153162772
Immune,5098-79,2.745185,0.05869854
Immune,2649-77,3.11569781,0.146482814
Immune,3046-31,4.319520591,0.136605913
Immune,10037-98,2.469984528,0.131021121
Immune,5091-28,3.832949194,0.091899271
Immune,6247-9,3.297870219,0.213986156
